标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
年底8折江北核心区，准现房，地铁口,403,34153元/㎡,中海观江樾,浦口,3,118㎡,南,,"['大户型', '轨交房', '车位充足']"
急急急！业主挥泪急售 装修30万 价格可谈 随时看房,200,22556元/㎡,新城香悦澜山,栖霞,3,88.67㎡,南北,2017年建造,"['南北', '满五年', '近地铁', '多人关注']"
融筑儒林花园 板楼 次新小区 装修好 南北通透 小三房,214,24242元/㎡,融筑儒林花园,栖霞,3,88.28㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '车位充足']"
看房有钥匙 高楼层采光充足 南北通透 低密宜居,242,29052元/㎡,江雁依山郡,鼓楼,3,83.3㎡,南北,2000年建造,"['南北', '房东直卖', '近地铁', '户型方正']"
双地铁口 五塘小市金域中央 精装3房 楼层好景观房 南北通透,326,29637元/㎡,金域中央街区1,鼓楼,3,110㎡,南北,2010年建造,"['南北', '热门小区', '近地铁', '优势户型']"
近地铁 产权清晰 有电梯 精装可拎包入住 小区新 正南朝向,310,30694元/㎡,中海燕矶听潮A区,栖霞,3,101㎡,南,2017年建造,"['南', '房东急售']"
高科荣境2期 有电梯 中间好楼层 装修好 板楼 南北通透,301,32370元/㎡,高科荣境2期,栖霞,3,92.99㎡,南北,2018年建造,"['南北', '满二年', '近地铁']"
升龙天汇 精装三房 新空未入住 有钥匙随时看房 满2年急售,390,39394元/㎡,升龙天汇珑尚,建邺,3,99㎡,南,2018年建造,"['南', '满五年', '近地铁', '多人关注']"
城北新街口，燕子矶门户，双地铁1号7号线 ，双阳台横厅设计,330,33334元/㎡,保利·国贸璟上,栖霞,3,99㎡,南北,,"['多轨交', '车位充足']"
直降70w 出价就卖 房东急售 带车位！有钥匙随时看,250,26701元/㎡,高科荣境2期,栖霞,3,93.63㎡,南北,2020年建造,"['南北', '热门小区', '房东急售', '随时可看']"
29 场门口 清凉门 房龄新 带花园 空间大,328,64377元/㎡,场门口14号小区,鼓楼,2,50.95㎡,南,1990年建造,"['南', '新上小区', '南北通透', '房东急售']"
朗诗未来街区 二房朝南 南北通透 超新装修 满五 急售,168,18877元/㎡,朗诗未来街区(东区),浦口,3,89㎡,南北,2018年建造,"['南北', '热门小区', '新上小区', '配套成熟']"
朗诗未来街区精装三房满五 家具家电中 楼层近地铁价格可谈,140,15731元/㎡,朗诗未来街区(东区),浦口,3,89㎡,南北,2019年建造,"['南北', '满五年', '近地铁', '次新房']"
330万可购 软件大道 雨核 精装 地铁口 免费车接看房,370,37374元/㎡,万科朗拾雨核,雨花台,3,99㎡,南,,"['南北通透', '大阳台', '双卫生间', '购物中心']"
新上直降100W！ 仙林湖金中金小 融信世纪东方 次新房小区,244,24501元/㎡,融筑儒林花园,栖霞,3,99.59㎡,南,2018年建造,"['南', '热门小区', '近地铁', '房东急售']"
小区新 有电梯 精装修 有钥匙随时看房 高楼层视野无遮挡,350,39331元/㎡,招商雍和府,建邺,3,88.99㎡,南北,2018年建造,"['南北', '有电梯', '近地铁']"
融创玉兰公馆一期 南北通透 双卫 商圈成熟 正规商品房 满二,305,33984元/㎡,融创玉兰公馆一期,栖霞,3,89.75㎡,南北,2018年建造,"['南北', '满二年', '车位充足']"
